Year,Sex,Age group,Districts,Value
2010,,,,
2010,Men,,,
2010,Women,,,
2010,,15-24,,
2010,,25-34,,
2010,,35-44,,
2010,,45-54,,
2010,,55+,,
2010,,,Mun. Chisinau,
2010,,,North,
2010,,,mun. Balti,
2010,,,Briceni,
2010,,,Donduseni,
2010,,,Drochia,
2010,,,Edinet,
2010,,,Falesti,
2010,,,Floresti,
2010,,,Glodeni,
2010,,,Ocnita,
2010,,,Rascani,
2010,,,Sangerei,
2010,,,Soroca,
2010,,,Centre,
2010,,,Anenii Noi,
2010,,,Calarasi,
2010,,,Criuleni,
2010,,,Dubasari,
2010,,,Hancesti,
2010,,,Ialoveni,
2010,,,Nisporeni,
2010,,,Orhei,
2010,,,Rezina,
2010,,,Straseni,
2010,,,Soldanesti,
2010,,,Telenesti,
2010,,,Ungheni,
2010,,,South,
2010,,,Basarabeasca,
2010,,,Cahul,
2010,,,Cantemir,
2010,,,Causeni,
2010,,,Cimislia,
2010,,,Leova,
2010,,,Stefan Voda,
2010,,,Taraclia,
2010,,,UTA Gagauzia,
2011,,,,
2011,Men,,,
2011,Women,,,
2011,,15-24,,
2011,,25-34,,
2011,,35-44,,
2011,,45-54,,
2011,,55+,,
2011,,,Mun. Chisinau,
2011,,,North,
2011,,,mun. Balti,
2011,,,Briceni,
2011,,,Donduseni,
2011,,,Drochia,
2011,,,Edinet,
2011,,,Falesti,
2011,,,Floresti,
2011,,,Glodeni,
2011,,,Ocnita,
2011,,,Rascani,
2011,,,Sangerei,
2011,,,Soroca,
2011,,,Centre,
2011,,,Anenii Noi,
2011,,,Calarasi,
2011,,,Criuleni,
2011,,,Dubasari,
2011,,,Hancesti,
2011,,,Ialoveni,
2011,,,Nisporeni,
2011,,,Orhei,
2011,,,Rezina,
2011,,,Straseni,
2011,,,Soldanesti,
2011,,,Telenesti,
2011,,,Ungheni,
2011,,,South,
2011,,,Basarabeasca,
2011,,,Cahul,
2011,,,Cantemir,
2011,,,Causeni,
2011,,,Cimislia,
2011,,,Leova,
2011,,,Stefan Voda,
2011,,,Taraclia,
2011,,,UTA Gagauzia,
2012,,,,
2012,Men,,,
2012,Women,,,
2012,,15-24,,
2012,,25-34,,
2012,,35-44,,
2012,,45-54,,
2012,,55+,,
2012,,,Mun. Chisinau,
2012,,,North,
2012,,,mun. Balti,
2012,,,Briceni,
2012,,,Donduseni,
2012,,,Drochia,
2012,,,Edinet,
2012,,,Falesti,
2012,,,Floresti,
2012,,,Glodeni,
2012,,,Ocnita,
2012,,,Rascani,
