Year,Type of benefit,Value
2010,,
2010,Social aid,
2010,Cold-weather aid,
2011,,
2011,Social aid,
2011,Cold-weather aid,
2012,,
2012,Social aid,
2012,Cold-weather aid,
2013,,
2013,Social aid,
2013,Cold-weather aid,
2014,,
2014,Social aid,
2014,Cold-weather aid,
2015,,
2015,Social aid,
2015,Cold-weather aid,
2016,,
2016,Social aid,
2016,Cold-weather aid,
2017,,
2017,Social aid,
2017,Cold-weather aid,
2018,,1.3
2018,Social aid,0.9
2018,Cold-weather aid,0.4
2019,,1.2
2019,Social aid,0.7
2019,Cold-weather aid,0.5
2020,,1.6
2020,Social aid,0.9
2020,Cold-weather aid,0.7
2021,,1.5
2021,Social aid,0.8
2021,Cold-weather aid,0.7
2022,,1.4
2022,Social aid,0.6
2022,Cold-weather aid,0.8
