Year,Types of resources,Value
2010,,7.253
2010,Biomass,3.799
2010,Fossil fuels,0.245
2010,Metal ores,0.037
2010,Non-ferrous ores,0.002
2011,,7.69
2011,Biomass,3.898
2011,Fossil fuels,0.252
2011,Metal ores,0.04
2011,Non-ferrous ores,0.001
2012,,8.69
2012,Biomass,3.515
2012,Fossil fuels,0.242
2012,Metal ores,0.046
2012,Non-ferrous ores,0.004
2013,,9.308
2013,Biomass,4.424
2013,Fossil fuels,0.259
2013,Metal ores,0.051
2013,Non-ferrous ores,0.002
2014,,10.085
2014,Biomass,4.902
2014,Fossil fuels,0.234
2014,Metal ores,0.056
2014,Non-ferrous ores,0.003
2015,,7.553
2015,Biomass,3.64
2015,Fossil fuels,0.236
2015,Metal ores,0.056
2015,Non-ferrous ores,0.003
2016,,8.321
2016,Biomass,4.628
2016,Fossil fuels,0.225
2016,Metal ores,0.062
2016,Non-ferrous ores,0.004
2017,,9.477
2017,Biomass,5.328
2017,Fossil fuels,0.258
2017,Metal ores,0.063
2017,Non-ferrous ores,0.0
2018,,10.48
2018,Biomass,5.595
2018,Fossil fuels,0.262
2018,Metal ores,0.066
2018,Non-ferrous ores,0.005
2019,,10.4
2019,Biomass,5.56
2019,Fossil fuels,0.248
2019,Metal ores,0.076
2019,Non-ferrous ores,0.006
2020,,8.022
2020,Biomass,3.022
2020,Fossil fuels,0.248
2020,Metal ores,0.079
2020,Non-ferrous ores,0.007
2021,,12.335
2021,Biomass,7.058
2021,Fossil fuels,0.252
2021,Metal ores,0.082
2021,Non-ferrous ores,0.007
2022,,11.073
2022,Biomass,6.414
2022,Fossil fuels,0.218
2022,Metal ores,0.075
2022,Non-ferrous ores,0.006
2023,,12.02
2023,Biomass,7.1
2023,Fossil fuels,0.23
2023,Metal ores,0.08
2023,Non-ferrous ores,0.01
2024,,
2024,Biomass,
2024,Fossil fuels,
2024,Metal ores,
2024,Non-ferrous ores,
