Year,Level of local government authorities ,Value
2010,,
2010,First level of local government authorities,
2010,Second level of local government authorities,
2011,,
2011,First level of local government authorities,
2011,Second level of local government authorities,
2012,,
2012,First level of local government authorities,
2012,Second level of local government authorities,
2013,,
2013,First level of local government authorities,
2013,Second level of local government authorities,
2014,,
2014,First level of local government authorities,
2014,Second level of local government authorities,
2015,,
2015,First level of local government authorities,
2015,Second level of local government authorities,
2016,,
2016,First level of local government authorities,
2016,Second level of local government authorities,
2017,,
2017,First level of local government authorities,
2017,Second level of local government authorities,
2018,,
2018,First level of local government authorities,
2018,Second level of local government authorities,
2019,,
2019,First level of local government authorities,
2019,Second level of local government authorities,
2020,,
2020,First level of local government authorities,
2020,Second level of local government authorities,
2021,,
2021,First level of local government authorities,
2021,Second level of local government authorities,
2022,,
2022,First level of local government authorities,
2022,Second level of local government authorities,
2023,,
2023,First level of local government authorities,0.2
2023,Second level of local government authorities,0.2
