Year,Area of residence,Sex,Disability,Access,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Men,,,
2010,,Women,,,
2010,,,xx,,
2010,,,xx,,
2010,,,xx,,
2010,,,,mode Electronic,
2010,,,,At the counter,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,xx,,
2011,,,xx,,
2011,,,xx,,
2011,,,,mode Electronic,
2011,,,,At the counter,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Men,,,
2012,,Women,,,
2012,,,xx,,
2012,,,xx,,
2012,,,xx,,
2012,,,,mode Electronic,
2012,,,,At the counter,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,xx,,
2013,,,xx,,
2013,,,xx,,
2013,,,,mode Electronic,
2013,,,,At the counter,
2014,,,,,
2014,Urban,,,,
2014,Rural,,,,
2014,,Men,,,
2014,,Women,,,
2014,,,xx,,
2014,,,xx,,
2014,,,xx,,
2014,,,,mode Electronic,
2014,,,,At the counter,
2015,,,,,
2015,Urban,,,,
2015,Rural,,,,
2015,,Men,,,
2015,,Women,,,
2015,,,xx,,
2015,,,xx,,
2015,,,xx,,
2015,,,,mode Electronic,
2015,,,,At the counter,
2016,,,,,
2016,Urban,,,,
2016,Rural,,,,
2016,,Men,,,
2016,,Women,,,
2016,,,xx,,
2016,,,xx,,
2016,,,xx,,
2016,,,,mode Electronic,
2016,,,,At the counter,
2017,,,,,
2017,Urban,,,,
2017,Rural,,,,
2017,,Men,,,
2017,,Women,,,
2017,,,xx,,
2017,,,xx,,
2017,,,xx,,
2017,,,,mode Electronic,
2017,,,,At the counter,
2018,,,,,
2018,Urban,,,,
2018,Rural,,,,
2018,,Men,,,
2018,,Women,,,
2018,,,xx,,
2018,,,xx,,
2018,,,xx,,
2018,,,,mode Electronic,
2018,,,,At the counter,
2019,,,,,
2019,Urban,,,,
2019,Rural,,,,
2019,,Men,,,
2019,,Women,,,
2019,,,xx,,
2019,,,xx,,
2019,,,xx,,
2019,,,,mode Electronic,
2019,,,,At the counter,
2020,,,,,
2020,Urban,,,,
2020,Rural,,,,
2020,,Men,,,
2020,,Women,,,
2020,,,xx,,
2020,,,xx,,
2020,,,xx,,
2020,,,,mode Electronic,
2020,,,,At the counter,
2021,,,,,
2021,Urban,,,,
2021,Rural,,,,
2021,,Men,,,
2021,,Women,,,
2021,,,xx,,
2021,,,xx,,
2021,,,xx,,
2021,,,,mode Electronic,
2021,,,,At the counter,
2022,,,,,
2022,Urban,,,,
2022,Rural,,,,
2022,,Men,,,
2022,,Women,,,
2022,,,xx,,
2022,,,xx,,
2022,,,xx,,
2022,,,,mode Electronic,
2022,,,,At the counter,
