Year,Sex,Age group,Disability,Ethnicity,Other groups,Value
2010,,,,,,
2010,Men,,,,,
2010,Women,,,,,
2010,,Up to 45 years (18-44),,,,
2010,,,xx,,,
2010,,,xx,,,
2010,,,xx,,,
2010,,,,xx,,
2010,,,,xx,,
2010,,,,xx,,
2010,,,,,xx,
2010,,,,,xx,
2010,,,,,xx,
2011,,,,,,
2011,Men,,,,,
2011,Women,,,,,
2011,,Up to 45 years (18-44),,,,
2011,,,xx,,,
2011,,,xx,,,
2011,,,xx,,,
2011,,,,xx,,
2011,,,,xx,,
2011,,,,xx,,
2011,,,,,xx,
2011,,,,,xx,
2011,,,,,xx,
2012,,,,,,
2012,Men,,,,,
2012,Women,,,,,
2012,,Up to 45 years (18-44),,,,
2012,,,xx,,,
2012,,,xx,,,
2012,,,xx,,,
2012,,,,xx,,
2012,,,,xx,,
2012,,,,xx,,
2012,,,,,xx,
2012,,,,,xx,
2012,,,,,xx,
2013,,,,,,
2013,Men,,,,,
2013,Women,,,,,
2013,,Up to 45 years (18-44),,,,
2013,,,xx,,,
2013,,,xx,,,
2013,,,xx,,,
2013,,,,xx,,
2013,,,,xx,,
2013,,,,xx,,
2013,,,,,xx,
2013,,,,,xx,
2013,,,,,xx,
2014,,,,,,
2014,Men,,,,,
2014,Women,,,,,
2014,,Up to 45 years (18-44),,,,
2014,,,xx,,,
2014,,,xx,,,
2014,,,xx,,,
2014,,,,xx,,
2014,,,,xx,,
2014,,,,xx,,
2014,,,,,xx,
2014,,,,,xx,
2014,,,,,xx,
2015,,,,,,
2015,Men,,,,,
2015,Women,,,,,
2015,,Up to 45 years (18-44),,,,
2015,,,xx,,,
2015,,,xx,,,
2015,,,xx,,,
2015,,,,xx,,
2015,,,,xx,,
2015,,,,xx,,
2015,,,,,xx,
2015,,,,,xx,
2015,,,,,xx,
2016,,,,,,
2016,Men,,,,,
2016,Women,,,,,
2016,,Up to 45 years (18-44),,,,
2016,,,xx,,,
2016,,,xx,,,
2016,,,xx,,,
2016,,,,xx,,
2016,,,,xx,,
2016,,,,xx,,
2016,,,,,xx,
2016,,,,,xx,
2016,,,,,xx,
2017,,,,,,
2017,Men,,,,,
2017,Women,,,,,
2017,,Up to 45 years (18-44),,,,
2017,,,xx,,,
2017,,,xx,,,
2017,,,xx,,,
2017,,,,xx,,
2017,,,,xx,,
2017,,,,xx,,
2017,,,,,xx,
2017,,,,,xx,
2017,,,,,xx,
2018,,,,,,
2018,Men,,,,,
2018,Women,,,,,
2018,,Up to 45 years (18-44),,,,
2018,,,xx,,,
2018,,,xx,,,
2018,,,xx,,,
2018,,,,xx,,
2018,,,,xx,,
2018,,,,xx,,
2018,,,,,xx,
2018,,,,,xx,
2018,,,,,xx,
2019,,,,,,
2019,Men,,,,,
2019,Women,,,,,
2019,,Up to 45 years (18-44),,,,
2019,,,xx,,,
2019,,,xx,,,
2019,,,xx,,,
2019,,,,xx,,
2019,,,,xx,,
2019,,,,xx,,
2019,,,,,xx,
2019,,,,,xx,
2019,,,,,xx,
2020,,,,,,
2020,Men,,,,,
2020,Women,,,,,
2020,,Up to 45 years (18-44),,,,
2020,,,xx,,,
2020,,,xx,,,
2020,,,xx,,,
2020,,,,xx,,
2020,,,,xx,,
2020,,,,xx,,
2020,,,,,xx,
2020,,,,,xx,
2020,,,,,xx,
2021,,,,,,
2021,Men,,,,,
2021,Women,,,,,
2021,,Up to 45 years (18-44),,,,
2021,,,xx,,,
2021,,,xx,,,
2021,,,xx,,,
2021,,,,xx,,
2021,,,,xx,,
2021,,,,xx,,
2021,,,,,xx,
2021,,,,,xx,
2021,,,,,xx,
2022,,,,,,
2022,Men,,,,,
2022,Women,,,,,
2022,,Up to 45 years (18-44),,,,
2022,,,xx,,,
2022,,,xx,,,
2022,,,xx,,,
2022,,,,xx,,
2022,,,,xx,,
2022,,,,xx,,
2022,,,,,xx,
2022,,,,,xx,
2022,,,,,xx,
