Year,Indicators,Value
2010,,
2010,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2010,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2010,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2010,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2011,,
2011,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2011,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2011,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2011,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2012,,
2012,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2012,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2012,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2012,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2013,,
2013,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2013,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2013,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2013,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2014,,
2014,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2014,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2014,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2014,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2015,,
2015,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2015,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2015,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2015,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2016,,
2016,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2016,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2016,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2016,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2017,,
2017,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2017,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2017,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2017,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2018,,
2018,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2018,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2018,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2018,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2019,,
2019,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2019,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2019,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2019,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2020,,
2020,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2020,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2020,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2020,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2021,,
2021,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2021,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2021,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2021,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2022,,
2022,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2022,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2022,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2022,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2023,,
2023,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2023,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2023,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2023,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2024,,
2024,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,
2024,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,
2024,Proportion of results indicators drawn from country-led results frameworks - data by recipient,
2024,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,
2025,,
2025,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient,44.1
2025,Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient,95.8
2025,Proportion of results indicators drawn from country-led results frameworks - data by recipient,47.5
2025,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient,62.5
