Year,Disbursement,Value
2010,Net disbursement,18.341
2010,Gross disbursement,18.358
2011,Net disbursement,25.952
2011,Gross disbursement,25.997
2012,Net disbursement,26.977
2012,Gross disbursement,27.317
2013,Net disbursement,25.556
2013,Gross disbursement,25.94
2014,Net disbursement,12.529
2014,Gross disbursement,13.186
2015,Net disbursement,11.876
2015,Gross disbursement,12.504
2016,Net disbursement,15.015
2016,Gross disbursement,15.69
2017,Net disbursement,12.744
2017,Gross disbursement,13.895
2018,Net disbursement,8.726
2018,Gross disbursement,10.597
2019,Net disbursement,9.317
2019,Gross disbursement,12.829
2020,Net disbursement,8.598
2020,Gross disbursement,12.548
2021,Net disbursement,17.494
2021,Gross disbursement,21.376
2022,Net disbursement,12.911
2022,Gross disbursement,16.319
