Year,Area of residence,Sex,Age group / Sex,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Men,,
2010,,Women,,
2010,,,15-24 years / Both sexes,
2010,,,15-24 years / Men,
2010,,,15-24 years / Women,
2010,,,25-64 years / Both sexes,
2010,,,25-64 years / Men,
2010,,,25-64 years / Women,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Men,,
2011,,Women,,
2011,,,15-24 years / Both sexes,
2011,,,15-24 years / Men,
2011,,,15-24 years / Women,
2011,,,25-64 years / Both sexes,
2011,,,25-64 years / Men,
2011,,,25-64 years / Women,
2012,,,,
2012,Urban,,,
2012,Rural,,,
2012,,Men,,
2012,,Women,,
2012,,,15-24 years / Both sexes,
2012,,,15-24 years / Men,
2012,,,15-24 years / Women,
2012,,,25-64 years / Both sexes,
2012,,,25-64 years / Men,
2012,,,25-64 years / Women,
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Men,,
2013,,Women,,
2013,,,15-24 years / Both sexes,
2013,,,15-24 years / Men,
2013,,,15-24 years / Women,
2013,,,25-64 years / Both sexes,
2013,,,25-64 years / Men,
2013,,,25-64 years / Women,
2014,,,,12.6
2014,Urban,,,13.2
2014,Rural,,,12.3
2014,,Men,,12.6
2014,,Women,,12.6
2014,,,15-24 years / Both sexes,56.4
2014,,,15-24 years / Men,51.6
2014,,,15-24 years / Women,61.8
2014,,,25-64 years / Both sexes,1.0
2014,,,25-64 years / Men,0.8
2014,,,25-64 years / Women,1.1
2015,,,,11.9
2015,Urban,,,11.6
2015,Rural,,,12.1
2015,,Men,,11.6
2015,,Women,,12.2
2015,,,15-24 years / Both sexes,55.7
2015,,,15-24 years / Men,51.4
2015,,,15-24 years / Women,60.4
2015,,,25-64 years / Both sexes,0.9
2015,,,25-64 years / Men,0.7
2015,,,25-64 years / Women,1.2
2016,,,,11.8
2016,Urban,,,11.5
2016,Rural,,,11.9
2016,,Men,,11.8
2016,,Women,,11.7
2016,,,15-24 years / Both sexes,57.3
2016,,,15-24 years / Men,53.5
2016,,,15-24 years / Women,61.5
2016,,,25-64 years / Both sexes,1.0
2016,,,25-64 years / Men,0.9
2016,,,25-64 years / Women,1.1
2017,,,,11.9
2017,Urban,,,12.5
2017,Rural,,,11.5
2017,,Men,,12.1
2017,,Women,,11.7
2017,,,15-24 years / Both sexes,57.7
2017,,,15-24 years / Men,54.6
2017,,,15-24 years / Women,61.3
2017,,,25-64 years / Both sexes,1.7
2017,,,25-64 years / Men,1.6
2017,,,25-64 years / Women,1.8
2018,,,,10.9
2018,Urban,,,12.3
2018,Rural,,,10.0
2018,,Men,,10.7
2018,,Women,,11.1
2018,,,15-24 years / Both sexes,57.6
2018,,,15-24 years / Men,52.7
2018,,,15-24 years / Women,62.9
2018,,,25-64 years / Both sexes,1.2
2018,,,25-64 years / Men,1.0
2018,,,25-64 years / Women,1.4
2019,,,,10.5
2019,Urban,,,11.5
2019,Rural,,,9.8
2019,,Men,,10.5
2019,,Women,,10.4
2019,,,15-24 years / Both sexes,57.3
2019,,,15-24 years / Men,54.7
2019,,,15-24 years / Women,60.1
2019,,,25-64 years / Both sexes,1.3
2019,,,25-64 years / Men,1.2
2019,,,25-64 years / Women,1.4
2020,,,,10.8
2020,Urban,,,11.3
2020,Rural,,,10.4
2020,,Men,,10.7
2020,,Women,,10.8
2020,,,15-24 years / Both sexes,62.5
2020,,,15-24 years / Men,59.7
2020,,,15-24 years / Women,65.5
2020,,,25-64 years / Both sexes,1.1
2020,,,25-64 years / Men,0.8
2020,,,25-64 years / Women,1.3
2021,,,,10.8
2021,Urban,,,11.7
2021,Rural,,,10.2
2021,,Men,,10.7
2021,,Women,,10.8
2021,,,15-24 years / Both sexes,63.9
2021,,,15-24 years / Men,61.0
2021,,,15-24 years / Women,66.9
2021,,,25-64 years / Both sexes,1.1
2021,,,25-64 years / Men,0.9
2021,,,25-64 years / Women,1.2
2022,,,,10.8
2022,Urban,,,12.0
2022,Rural,,,10.0
2022,,Men,,10.6
2022,,Women,,11.0
2022,,,15-24 years / Both sexes,63.3
2022,,,15-24 years / Men,60.7
2022,,,15-24 years / Women,65.8
2022,,,25-64 years / Both sexes,1.3
2022,,,25-64 years / Men,1.1
2022,,,25-64 years / Women,1.4
2023,,,,11.9
2023,Urban,,,13.7
2023,Rural,,,10.5
2023,,Men,,11.2
2023,,Women,,12.5
2023,,,15-24 years / Both sexes,66.9
2023,,,15-24 years / Men,63.2
2023,,,15-24 years / Women,70.5
2023,,,25-64 years / Both sexes,2.2
2023,,,25-64 years / Men,1.6
2023,,,25-64 years / Women,2.7
2024,,,,13.0
2024,Urban,,,15.4
2024,Rural,,,11.0
2024,,Men,,12.6
2024,,Women,,13.2
2024,,,15-24 years / Both sexes,69.7
2024,,,15-24 years / Men,68.5
2024,,,15-24 years / Women,71.0
2024,,,25-64 years / Both sexes,2.9
2024,,,25-64 years / Men,2.1
2024,,,25-64 years / Women,3.6
