Year,Proportion of managerial positions held by women ,Area of residence,Economic activities,Forms of ownership,Proportion of women in senior and middle management positions,Area of residence.1,Economic activities.1,Forms of ownership.1,Value
2010,,,,,,,,,0.0
2010,Total,,,,,,,,
2010,,Urban,,,,,,,
2010,,Rural,,,,,,,
2010,,,Agriculture,,,,,,
2010,,,Industry,,,,,,
2010,,,Construction,,,,,,
2010,,,Wholesale and retail trade; accomodation and food service activities,,,,,,
2010,,,Transportation and storage; information and communication,,,,,,
2010,,,Public administration; education; health and social work,,,,,,
2010,,,Other activities,,,,,,
2010,,,,Public,,,,,
2010,,,,Other forms,,,,,
2010,,,,,Total,,,,
2010,,,,,,Urban,,,
2010,,,,,,Rural,,,
2010,,,,,,,Agriculture,,
2010,,,,,,,Industry,,
2010,,,,,,,Construction,,
2010,,,,,,,Wholesale and retail trade; accomodation and food service activities,,
2010,,,,,,,Transportation and storage; information and communication,,
2010,,,,,,,Public administration; education; health and social work,,
2010,,,,,,,Other activities,,
2010,,,,,,,,Public,
2010,,,,,,,,Other forms,
2011,,,,,,,,,0.0
2011,Total,,,,,,,,
2011,,Urban,,,,,,,
2011,,Rural,,,,,,,
2011,,,Agriculture,,,,,,
2011,,,Industry,,,,,,
2011,,,Construction,,,,,,
2011,,,Wholesale and retail trade; accomodation and food service activities,,,,,,
2011,,,Transportation and storage; information and communication,,,,,,
2011,,,Public administration; education; health and social work,,,,,,
2011,,,Other activities,,,,,,
2011,,,,Public,,,,,
2011,,,,Other forms,,,,,
2011,,,,,Total,,,,
2011,,,,,,Urban,,,
2011,,,,,,Rural,,,
2011,,,,,,,Agriculture,,
2011,,,,,,,Industry,,
2011,,,,,,,Construction,,
2011,,,,,,,Wholesale and retail trade; accomodation and food service activities,,
2011,,,,,,,Transportation and storage; information and communication,,
2011,,,,,,,Public administration; education; health and social work,,
2011,,,,,,,Other activities,,
2011,,,,,,,,Public,
2011,,,,,,,,Other forms,
2012,,,,,,,,,0.0
2012,Total,,,,,,,,
2012,,Urban,,,,,,,
2012,,Rural,,,,,,,
2012,,,Agriculture,,,,,,
2012,,,Industry,,,,,,
2012,,,Construction,,,,,,
2012,,,Wholesale and retail trade; accomodation and food service activities,,,,,,
2012,,,Transportation and storage; information and communication,,,,,,
2012,,,Public administration; education; health and social work,,,,,,
2012,,,Other activities,,,,,,
2012,,,,Public,,,,,
2012,,,,Other forms,,,,,
2012,,,,,Total,,,,
2012,,,,,,Urban,,,
2012,,,,,,Rural,,,
2012,,,,,,,Agriculture,,
2012,,,,,,,Industry,,
2012,,,,,,,Construction,,
2012,,,,,,,Wholesale and retail trade; accomodation and food service activities,,
2012,,,,,,,Transportation and storage; information and communication,,
2012,,,,,,,Public administration; education; health and social work,,
2012,,,,,,,Other activities,,
2012,,,,,,,,Public,
2012,,,,,,,,Other forms,
2013,,,,,,,,,0.0
2013,Total,,,,,,,,
2013,,Urban,,,,,,,
2013,,Rural,,,,,,,
2013,,,Agriculture,,,,,,
2013,,,Industry,,,,,,
2013,,,Construction,,,,,,
2013,,,Wholesale and retail trade; accomodation and food service activities,,,,,,
2013,,,Transportation and storage; information and communication,,,,,,
2013,,,Public administration; education; health and social work,,,,,,
2013,,,Other activities,,,,,,
2013,,,,Public,,,,,
2013,,,,Other forms,,,,,
2013,,,,,Total,,,,
2013,,,,,,Urban,,,
2013,,,,,,Rural,,,
2013,,,,,,,Agriculture,,
2013,,,,,,,Industry,,
2013,,,,,,,Construction,,
2013,,,,,,,Wholesale and retail trade; accomodation and food service activities,,
2013,,,,,,,Transportation and storage; information and communication,,
2013,,,,,,,Public administration; education; health and social work,,
2013,,,,,,,Other activities,,
2013,,,,,,,,Public,
2013,,,,,,,,Other forms,
2014,,,,,,,,,0.0
2014,Total,,,,,,,,42.6
2014,,Urban,,,,,,,40.4
2014,,Rural,,,,,,,48.8
2014,,,Agriculture,,,,,,10.3
2014,,,Industry,,,,,,35.4
2014,,,Construction,,,,,,14.3
2014,,,Wholesale and retail trade; accomodation and food service activities,,,,,,36.2
2014,,,Transportation and storage; information and communication,,,,,,47.2
2014,,,Public administration; education; health and social work,,,,,,58.2
2014,,,Other activities,,,,,,50.6
2014,,,,Public,,,,,56.5
2014,,,,Other forms,,,,,36.6
2014,,,,,Total,,,,43.7
2014,,,,,,Urban,,,41.1
2014,,,,,,Rural,,,50.4
2014,,,,,,,Agriculture,,10.3
2014,,,,,,,Industry,,36.4
2014,,,,,,,Construction,,14.3
2014,,,,,,,Wholesale and retail trade; accomodation and food service activities,,37.4
2014,,,,,,,Transportation and storage; information and communication,,47.4
2014,,,,,,,Public administration; education; health and social work,,58.5
2014,,,,,,,Other activities,,52.1
2014,,,,,,,,Public,57.6
2014,,,,,,,,Other forms,36.5
2015,,,,,,,,,0.0
2015,Total,,,,,,,,48.5
2015,,Urban,,,,,,,47.1
2015,,Rural,,,,,,,52.4
2015,,,Agriculture,,,,,,13.0
2015,,,Industry,,,,,,42.3
2015,,,Construction,,,,,,18.1
2015,,,Wholesale and retail trade; accomodation and food service activities,,,,,,46.3
2015,,,Transportation and storage; information and communication,,,,,,49.6
