Year,Area of residence,Educational level,Wealth quintiles ,Age group,Occupational status,Marital status,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Primary,,,,,
2010,,Lower secondary,,,,,
2010,,General secondary,,,,,
2010,,Vocational secondary,,,,,
2010,,Post-secondary vocational,,,,,
2010,,Higher,,,,,
2010,,,I,,,,
2010,,,II,,,,
2010,,,III,,,,
2010,,,IV,,,,
2010,,,V,,,,
2010,,,,15-19,,,
2010,,,,20-24,,,
2010,,,,25-29,,,
2010,,,,30-34,,,
2010,,,,35-39,,,
2010,,,,40-44,,,
2010,,,,45-49,,,
2010,,,,,Employed,,
2010,,,,,Self-employed ,,
2010,,,,,Retiree,,
2010,,,,,Unemployed,,
2010,,,,,Other status,,
2010,,,,,,Married,
2010,,,,,,Cohabiting,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Primary,,,,,
2011,,Lower secondary,,,,,
2011,,General secondary,,,,,
2011,,Vocational secondary,,,,,
2011,,Post-secondary vocational,,,,,
2011,,Higher,,,,,
2011,,,I,,,,
2011,,,II,,,,
2011,,,III,,,,
2011,,,IV,,,,
2011,,,V,,,,
2011,,,,15-19,,,
2011,,,,20-24,,,
2011,,,,25-29,,,
2011,,,,30-34,,,
2011,,,,35-39,,,
2011,,,,40-44,,,
2011,,,,45-49,,,
2011,,,,,Employed,,
2011,,,,,Self-employed ,,
2011,,,,,Retiree,,
2011,,,,,Unemployed,,
2011,,,,,Other status,,
2011,,,,,,Married,
2011,,,,,,Cohabiting,
2012,,,,,,,
2012,Urban,,,,,,
2012,Rural,,,,,,
2012,,Primary,,,,,
2012,,Lower secondary,,,,,
2012,,General secondary,,,,,
2012,,Vocational secondary,,,,,
2012,,Post-secondary vocational,,,,,
2012,,Higher,,,,,
2012,,,I,,,,
2012,,,II,,,,
2012,,,III,,,,
2012,,,IV,,,,
2012,,,V,,,,
2012,,,,15-19,,,
2012,,,,20-24,,,
2012,,,,25-29,,,
2012,,,,30-34,,,
2012,,,,35-39,,,
2012,,,,40-44,,,
2012,,,,45-49,,,
2012,,,,,Employed,,
2012,,,,,Self-employed ,,
2012,,,,,Retiree,,
2012,,,,,Unemployed,,
2012,,,,,Other status,,
2012,,,,,,Married,
2012,,,,,,Cohabiting,
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Primary,,,,,
2013,,Lower secondary,,,,,
2013,,General secondary,,,,,
2013,,Vocational secondary,,,,,
2013,,Post-secondary vocational,,,,,
2013,,Higher,,,,,
2013,,,I,,,,
2013,,,II,,,,
2013,,,III,,,,
2013,,,IV,,,,
2013,,,V,,,,
2013,,,,15-19,,,
2013,,,,20-24,,,
2013,,,,25-29,,,
2013,,,,30-34,,,
2013,,,,35-39,,,
2013,,,,40-44,,,
2013,,,,45-49,,,
2013,,,,,Employed,,
2013,,,,,Self-employed ,,
2013,,,,,Retiree,,
2013,,,,,Unemployed,,
2013,,,,,Other status,,
2013,,,,,,Married,
2013,,,,,,Cohabiting,
2014,,,,,,,
2014,Urban,,,,,,
2014,Rural,,,,,,
2014,,Primary,,,,,
2014,,Lower secondary,,,,,
2014,,General secondary,,,,,
2014,,Vocational secondary,,,,,
2014,,Post-secondary vocational,,,,,
2014,,Higher,,,,,
2014,,,I,,,,
