Year,Urban,Rural,Municipality Chisinau,North,Center,South,I,II,III,IV,V,Men,Women,Value
2010,,,,,,,,,,,,,,
2010,Area of residence,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,Statistical regions,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,Quintiles on consumption expenditures,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,Sex of the head of the household,,
2010,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,Area of residence,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,Statistical regions,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,Quintiles on consumption expenditures,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,Sex of the head of the household,,
2011,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,Area of residence,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,Statistical regions,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,Quintiles on consumption expenditures,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,Sex of the head of the household,,
2012,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,Area of residence,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,Statistical regions,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,Quintiles on consumption expenditures,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,Sex of the head of the household,,
2013,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,73.1
2014,Area of residence,,,,,,,,,,,,,95.5
2014,,,,,,,,,,,,,,56.9
2014,,,Statistical regions,,,,,,,,,,,98.1
2014,,,,,,,,,,,,,,52.4
2014,,,,,,,,,,,,,,66.9
2014,,,,,,,,,,,,,,81.9
2014,,,,,,,Quintiles on consumption expenditures,,,,,,,48.9
2014,,,,,,,,,,,,,,65.9
2014,,,,,,,,,,,,,,74.0
2014,,,,,,,,,,,,,,85.1
2014,,,,,,,,,,,,,,91.3
2014,,,,,,,,,,,,Sex of the head of the household,,73.3
2014,,,,,,,,,,,,,,72.6
2015,,,,,,,,,,,,,,77.0
2015,Area of residence,,,,,,,,,,,,,95.6
2015,,,,,,,,,,,,,,63.6
2015,,,Statistical regions,,,,,,,,,,,98.8
2015,,,,,,,,,,,,,,57.0
2015,,,,,,,,,,,,,,70.1
