Year,Economic activities,Value
2010,,
2010,"Agriculture, forestry and fishing",
2010,Mining and quarrying,
2010,Manufacturing,
2010,"Production and supply of electric energy and heat, gas and hot water",
2011,,
2011,"Agriculture, forestry and fishing",
2011,Mining and quarrying,
2011,Manufacturing,
2011,"Production and supply of electric energy and heat, gas and hot water",
2012,,
2012,"Agriculture, forestry and fishing",
2012,Mining and quarrying,
2012,Manufacturing,
2012,"Production and supply of electric energy and heat, gas and hot water",
2013,,
2013,"Agriculture, forestry and fishing",
2013,Mining and quarrying,
2013,Manufacturing,
2013,"Production and supply of electric energy and heat, gas and hot water",
2014,,147.3
2014,"Agriculture, forestry and fishing",223.7
2014,Mining and quarrying,4.3
2014,Manufacturing,781.6
2014,"Production and supply of electric energy and heat, gas and hot water",4.5
2015,,164.8
2015,"Agriculture, forestry and fishing",232.3
2015,Mining and quarrying,4.22
2015,Manufacturing,864.5
2015,"Production and supply of electric energy and heat, gas and hot water",6.06
2016,,180.6
2016,"Agriculture, forestry and fishing",242.0
2016,Mining and quarrying,3.43
2016,Manufacturing,938.5
2016,"Production and supply of electric energy and heat, gas and hot water",6.7
2017,,195.5
2017,"Agriculture, forestry and fishing",261.8
2017,Mining and quarrying,4.27
2017,Manufacturing,1032.2
2017,"Production and supply of electric energy and heat, gas and hot water",7.1
2018,,209.8
2018,"Agriculture, forestry and fishing",233.9
2018,Mining and quarrying,5.77
2018,Manufacturing,1119.8
2018,"Production and supply of electric energy and heat, gas and hot water",7.16
2019,,230.3
2019,"Agriculture, forestry and fishing",252.5
2019,Mining and quarrying,7.05
2019,Manufacturing,1200.0
2019,"Production and supply of electric energy and heat, gas and hot water",7.07
2020,,219.8
2020,"Agriculture, forestry and fishing",207.9
2020,Mining and quarrying,7.25
2020,Manufacturing,1345.0
2020,"Production and supply of electric energy and heat, gas and hot water",5.92
2021,,266.5
2021,"Agriculture, forestry and fishing",308.7
2021,Mining and quarrying,8.64
2021,Manufacturing,1555.0
2021,"Production and supply of electric energy and heat, gas and hot water",7.41
2022,,279.7
2022,"Agriculture, forestry and fishing",259.0
2022,Mining and quarrying,5.84
2022,Manufacturing,1692.0
2022,"Production and supply of electric energy and heat, gas and hot water",6.15
2023,,2193.3
2023,"Agriculture, forestry and fishing",488.7
2023,Mining and quarrying,
2023,Manufacturing,4226.0
2023,"Production and supply of electric energy and heat, gas and hot water",66.3
2024,,1590.0
2024,"Agriculture, forestry and fishing",513.0
2024,Mining and quarrying,44.7
2024,Manufacturing,5131.0
2024,"Production and supply of electric energy and heat, gas and hot water",70.7
