Year,Type,Value
2010,Gross disbursements,78.8
2010,Commitments,470.05
2011,Gross disbursements,135.02
2011,Commitments,125.56
2012,Gross disbursements,204.02
2012,Commitments,316.49
2013,Gross disbursements,181.71
2013,Commitments,135.99
2014,Gross disbursements,260.22
2014,Commitments,383.48
2015,Gross disbursements,193.13
2015,Commitments,89.23
2016,Gross disbursements,140.88
2016,Commitments,323.33
2017,Gross disbursements,97.1
2017,Commitments,122.74
2018,Gross disbursements,145.55
2018,Commitments,128.04
2019,Gross disbursements,149.93
2019,Commitments,144.61
2020,Gross disbursements,178.49
2020,Commitments,126.83
2021,Gross disbursements,158.61
2021,Commitments,82.44
2022,Gross disbursements,258.05
2022,Commitments,228.33
2023,Gross disbursements,200.06
2023,Commitments,197.96
2024,Gross disbursements,
2024,Commitments,
2025,Gross disbursements,
2025,Commitments,
