Year,Sex,Value
2010,,
2010,Women,
2010,Men,
2011,,
2011,Women,
2011,Men,
2012,,
2012,Women,
2012,Men,
2013,,
2013,Women,
2013,Men,
2014,,93.0
2014,Women,86.0
2014,Men,101.0
2015,,95.0
2015,Women,91.0
2015,Men,99.0
2016,,93.0
2016,Women,89.0
2016,Men,97.0
2017,,94.0
2017,Women,89.0
2017,Men,99.0
2018,,92.0
2018,Women,87.0
2018,Men,98.0
2019,,84.0
2019,Women,78.0
2019,Men,90.0
2020,,78.0
2020,Women,75.0
2020,Men,81.0
2021,,80.0
2021,Women,77.0
2021,Men,83.0
2022,,79.0
2022,Women,77.0
2022,Men,81.0
2023,,74.0
2023,Women,71.0
2023,Men,77.0
2024,,65.94
2024,Women,64.56
2024,Men,67.49
2025,,65.52
2025,Women,63.51
2025,Men,67.83
