Year,Mobile Internet per 100 inhabitants,Fixed Internet per 100 inhabitants,Fixed Internet per 100 households,Value
2010,114.6,,,
2010,,40.4,,7.6
2010,,,83.6,19.6
2011,114.6,,,
2011,,40.4,,9.9
2011,,,83.6,24.7
2012,114.6,,,43.2
2012,,40.4,,11.6
2012,,,83.6,27.3
2013,114.6,,,46.3
2013,,40.4,,13.1
2013,,,83.6,29.9
2014,114.6,,,55.8
2014,,40.4,,17.7
2014,,,83.6,41.9
2015,114.6,,,58.7
2015,,40.4,,18.8
2015,,,83.6,44.4
2016,114.6,,,65.0
2016,,40.4,,19.7
2016,,,83.6,44.8
2017,114.6,,,74.0
2017,,40.4,,21.0
2017,,,83.6,47.6
2018,114.6,,,79.4
2018,,40.4,,22.8
2018,,,83.6,49.7
2019,114.6,,,88.7
2019,,40.4,,25.0
2019,,,83.6,56.7
2020,114.6,,,89.7
2020,,40.4,,27.2
2020,,,83.6,59.3
2021,114.6,,,102.4
2021,,40.4,,29.0
2021,,,83.6,63.3
2022,114.6,,,105.4
2022,,40.4,,30.9
2022,,,83.6,64.3
2023,114.6,,,111.9
2023,,40.4,,33.6
2023,,,83.6,70.0
2024,114.6,,,117.1
2024,,40.4,,37.1
2024,,,83.6,77.3
2025,114.6,,,114.6
2025,,40.4,,40.4
2025,,,83.6,83.6
