Year,Value
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2014,73.1
2014,56.9
2014,52.4
2014,66.9
2014,81.9
2014,65.9
2014,74.0
2014,85.1
2014,91.3
2014,72.6
2015,77.0
2015,63.6
2015,57.0
2015,70.1
2015,89.9
2015,71.3
2015,76.1
2015,87.7
2015,93.7
2015,77.3
2016,77.2
2016,64.2
2016,57.2
2016,71.2
2016,89.4
2016,71.4
2016,79.2
2016,85.5
2016,93.5
2016,77.6
2017,80.8
2017,70.4
2017,61.0
2017,80.2
2017,89.4
2017,75.5
2017,82.0
2017,89.7
2017,95.7
2017,80.2
2018,82.1
2018,71.7
2018,62.7
2018,81.5
2018,91.7
2018,78.7
2018,82.4
2018,88.9
2018,95.4
2018,81.3
2019,83.1
2019,73.8
2019,71.7
2019,81.2
2019,84.7
2019,79.8
2019,84.0
2019,91.3
2019,95.4
2019,80.9
2020,85.3
2020,76.4
2020,73.6
2020,83.9
2020,87.9
2020,81.7
2020,83.3
2020,90.6
2020,97.6
2020,82.8
2021,86.4
2021,78.9
2021,75.8
2021,84.1
2021,90.5
2021,82.1
2021,88.3
2021,92.2
2021,97.4
2021,84.8
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
