Value,Disaggregation combinations using this value,Number of indicators
"(1) Political, legal and normative instruments for the implementation of CSR",1,1
(10) Risk communication and community involvement (RCCE),1,1
(11) Points of Entry (PoE) and Border Health,1,1
(12) Zoonotic diseases,1,1
(13) Food safety,1,1
(14) Chemical events,1,1
(15) Radiological emergencies,1,1
(2) RSI Coordination and National RSI Focal Point,1,1
(3) Funding,1,1
(4) The laboratory,1,1
(5) Supervision,1,1
(6) Human resources,1,1
(7) Management of health emergencies,1,1
(8) Provision of health services,1,1
(9) Infection Prevention and Control (IPC),1,1
