Value,Disaggregation combinations using this value,Number of indicators
Anenii Noi,2,2
Basarabeasca,2,2
Briceni,2,2
Cahul,2,2
Calarasi,2,2
Cantemir,2,2
Causeni,2,2
Centre,2,2
Cimislia,2,2
Criuleni,2,2
Donduseni,2,2
Drochia,2,2
Dubasari,2,2
Edinet,2,2
Falesti,2,2
Floresti,2,2
Glodeni,2,2
Hancesti,2,2
Ialoveni,2,2
Leova,2,2
mun. Balti,2,2
Mun. Chisinau,2,2
Nisporeni,2,2
North,2,2
Ocnita,2,2
Orhei,2,2
Rascani,2,2
Rezina,2,2
Sangerei,2,2
Soldanesti,2,2
Soroca,2,2
South,2,2
Stefan Voda,2,2
Straseni,2,2
Taraclia,2,2
TAU Gagauzia,1,1
Telenesti,2,2
Ungheni,2,2
UTA Gagauzia,1,1
