Value,Disaggregation combinations using this value,Number of indicators
"Agriculture, forestry and fishing",3,3
Agriculture,2,1
Construction,2,1
"Electricity, gas and water",2,2
Industry,2,1
Manufacturing industry,1,1
Manufacturing,2,2
Mining and quarrying,1,1
Other activities,5,4
"Production and supply of electricity and thermal energy, gas and hot water",1,1
Public administration; education; health and social work,2,1
Transportation and storage; information and communication,2,1
Wholesale and retail trade; accomodation and food service activities,2,1
