Value,Disaggregation combinations using this value,Number of indicators
Accommodation and food service activities,1,1
Administrative and support service activities,1,1
"Agriculture, forestry and fishing",1,1
"Arts, entertainment and recreation",1,1
Construction,1,1
Education,1,1
"Electricity, gas, steam and air conditioning supply",1,1
Financial and insurance activities,1,1
Human health and social work activities,1,1
Industry,1,1
Information and communication,1,1
Manufacturing,1,1
Mining and quarrying,1,1
Other service activities,1,1
"Professional, scientific and technical activities",1,1
Public administration and defence; compulsory social security,1,1
Real estate activities,1,1
Total by economic activities,1,1
Transportation and storage,1,1
"Water supply; sewerage, waste management and remediation activities",1,1
Wholesale and retail trade; repair of motor vehicles and motorcycles,1,1
