Value,Disaggregation combinations using this value,Number of indicators
Anenii Noi,1,1
Basarabeasca,1,1
Briceni,1,1
Cahul,1,1
Calarasi,1,1
Cantemir,1,1
Causeni,1,1
Centre,1,1
Cimislia,1,1
Criuleni,1,1
Donduseni,1,1
Drochia,1,1
Dubasari,1,1
Edinet,1,1
Falesti,1,1
Floresti,1,1
Glodeni,1,1
Hancesti,1,1
Ialoveni,1,1
Leova,1,1
mun. Balti,1,1
Mun. Chisinau,1,1
Nisporeni,1,1
North,1,1
Ocnita,1,1
Orhei,1,1
Rascani,1,1
Rezina,1,1
Sangerei,1,1
Soldanesti,1,1
Soroca,1,1
South,1,1
Stefan Voda,1,1
Straseni,1,1
Taraclia,1,1
TAU Gagauzia,1,1
Telenesti,1,1
Total for the country,1,1
Ungheni,1,1
