Value,Disaggregation combinations using this value,Number of indicators
Agriculture - Proportion of managerial positions held by women,1,1
Construction - Proportion of managerial positions held by women,1,1
Industry - Proportion of managerial positions held by women,1,1
Other activities - Proportion of managerial positions held by women,1,1
Other forms of property - Proportion of managerial positions held by women,1,1
Public administration; education; health and social work - Proportion of managerial positions held by women,1,1
Public property - Proportion of managerial positions held by women,1,1
Rural - Proportion of managerial positions held by women,1,1
Total - Proportion of managerial positions held by women,1,1
Transportation and storage; information and communication - Proportion of managerial positions held by women,1,1
Urban - Proportion of managerial positions held by women,1,1
Wholesale and retail trade; accomodation and food service activities - Proportion of managerial positions held by women,1,1
