Value,Disaggregation combinations using this value,Number of indicators
Agriculture - Proportion of women in senior and middle management positions,1,1
Construction - Proportion of women in senior and middle management positions,1,1
Industry - Proportion of women in senior and middle management positions,1,1
Other activities - Proportion of women in senior and middle management positions,1,1
Other forms of property - Proportion of women in senior and middle management positions,1,1
Public administration; education; health and social work - Proportion of women in senior and middle management positions,1,1
Public property - Proportion of women in senior and middle management positions,1,1
Rural - Proportion of women in senior and middle management positions,1,1
Total - Proportion of women in senior and middle management positions,1,1
Transportation and storage; information and communication - Proportion of women in senior and middle management positions,1,1
Urban - Proportion of women in senior and middle management positions,1,1
Wholesale and retail trade; accomodation and food service activities - Proportion of women in senior and middle management positions,1,1
